Text,Author,Likes,Date
"Is this what they call ""doing a Billy Mitchell""?",Danceofmasks,0,2023-04-11T03:41:32Z
Challenge mkleo next,Sharpthieve,0,2023-04-11T02:59:13Z
imagine being ken and thinking you were getting clapped by a random noob streamer. must've been a big self esteem hit.,David Santiago,1,2023-04-11T02:04:28Z
"their acting were so good, I almost thought Zain actually played for him, but clearly Ludwig is just that guy",YourAverageWeeb,4,2023-04-11T01:51:37Z
Lugwig lol,BeefySimp,0,2023-04-11T01:18:10Z
Smoothest way to admit it 😂,Dazzle Clinton,0,2023-04-10T23:26:23Z
Ludwig wants to troll viewers.... *Ken enters chat* 7:35 xD,Lethal Activity,2,2023-04-10T22:26:19Z
Get back to it bucko,its0slimey_,0,2023-04-10T22:17:47Z
lol thats funny,TheNotoriousNemo,0,2023-04-10T22:14:16Z
crazy ending (outro),blind,0,2023-04-10T22:13:52Z
Moist esports sounds way better than moist moguls,Coraalz,0,2023-04-10T22:07:34Z
Saying “one of THE super smash bros player of all time” is the slickest way to say you was just a dude who played smash . ☠️,SrirachaPapa,0,2023-04-10T22:01:37Z
"“I’m not even trying!” I mean yea, quite literally",The Foox,0,2023-04-10T20:49:34Z
how do apply for ur pro team?,Ozu,0,2023-04-10T20:27:10Z
music,O5ANGE,0,2023-04-10T20:21:48Z
Why not just call the GOAT?,JC,0,2023-04-10T20:06:13Z
nice keyboard!,Silly Stan,0,2023-04-10T20:01:22Z
"I'd have said ""You know what, I'm not even going to play my main, I'll play.. Marth!""",thereal_arno,0,2023-04-10T19:26:58Z
So you technically just ringed on him irl😂😂😂😂,Retro,0,2023-04-10T18:36:46Z
Super good video. Ludwig is godly content,Greg,0,2023-04-10T18:35:25Z
how do you play it online?,DUCKspace2,0,2023-04-10T18:29:56Z
Ludwig really pulled a jojo,joj,0,2023-04-10T18:22:54Z
Lmao ken watching this like -_-,Levelonesucks,0,2023-04-10T18:03:19Z
W zain,Doot,1,2023-04-10T17:48:47Z
You know the guy is a GOAT when he beats one of the top players with a character he doesnt play.,TheDanielcortez,0,2023-04-10T17:46:58Z
"So, you said ""I used to be one of THEE super smash bro's players, of all time""  Did you misread your script, and not catch that during editing @ludwig?",Bando Richh,0,2023-04-10T17:34:52Z
"*the

he said it that way for emphasis....like people do....",LuckyOwl777,0,2023-04-13T00:15:50Z
is that Markiplier posing behind him?,BurtonTheGrape,0,2023-04-10T17:26:22Z
"7:25 someone in the chat said ""pay to win"" they called it.",CogniVision,2,2023-04-10T17:15:32Z
the only guy who is allowed to cheat and everyone is happy,Chaiken,0,2023-04-10T16:51:57Z
He's got a buttplug and Zain's giving him instructions via the other controller,Rasal Hague,0,2023-04-10T16:42:50Z
"The bottle of Henny, Ludwig a real OG.",Rawi,0,2023-04-10T16:13:08Z
the game was inzain.,Xero,0,2023-04-10T16:11:23Z
8 minutes of my life im never getting back ...,Peter Petrov,0,2023-04-10T15:51:30Z
Props to the guy in chat who  said   *SCRIPTED*,Frank Coley,1,2023-04-10T15:20:36Z
What's up,Ride the Gamer,0,2023-04-10T15:15:26Z
2:17 He said it.,Cunt,0,2023-04-10T14:54:46Z
God loves you,Staks,0,2023-04-10T14:52:37Z
God loves you,Staks,0,2023-04-10T14:52:31Z
"First among us and now this, no one cheats like lud😂",Cj Bladesworth,0,2023-04-10T14:45:31Z
"Was waiting all video for the ""I'll just mirror your Marth and prove you're washed up"" maximum BM.",Axel,0,2023-04-10T14:06:46Z
Lol,MarcBossYT,0,2023-04-10T13:37:09Z
ludwig is so good at smash bros ongggg,Greeny,0,2023-04-10T13:32:20Z
respect bro!,christianspeaker,0,2023-04-10T13:31:12Z
Noice video bro.,CyberGamez,0,2023-04-10T13:23:40Z
Ludwig is a masterclass at trolling his Twitch chat. W Zain.,Scripter Gaming,1,2023-04-10T12:33:01Z
nice,Joshua Monrovia Jr,0,2023-04-10T12:14:19Z
How does he get his hair to stay like that!?! I wish Isaac Newton was still alive to tell me 😞,Nikki Clovers,1,2023-04-10T11:57:51Z
lemme get a shot of henny ludbug,Chase Mon3y,0,2023-04-10T11:45:48Z
Very cool vid,Clogica,0,2023-04-10T11:04:10Z
This guy just record a scam crime scene XD,JustinLin,0,2023-04-10T10:38:27Z
He shows that he cares about the chat. What a streamer.,JustinLin,0,2023-04-10T10:43:55Z
no ones ever going to trust lud again lmao,StarCultiniser,0,2023-04-10T09:45:32Z
Lol this is what next gen outsourcing become 😂. Just jokes. Much respect.  Interesting video.,SP Zero,0,2023-04-10T09:34:26Z
Now beat hungrybox!,Scales,0,2023-04-10T09:16:10Z
Everyone who won against the #1 player must be feelin themselves right now signing up for tournaments nd shit 😂,M,0,2023-04-10T09:01:12Z
"I'm from the old days and was weirded out seeing lud the sbmm player become big on YouTube and twitch, and now he has to explain that he used to be a smash player 👴👴",BARUtubbig,0,2023-04-10T09:00:08Z
scripted,Shravan Shetty,0,2023-04-10T08:01:12Z
ghatak bhai op,Gamenerd,0,2023-04-10T06:50:44Z
Fuxking hilarious that KEN PULLED UP,Jesus Da Lawd,0,2023-04-10T06:31:19Z
That Megaman 2 theme remix went hard,Warning 64,0,2023-04-10T06:17:21Z
Zane looks like indian walt jr.,Purple9007,0,2023-04-10T06:04:32Z
